,CQ,FD,FQ,GG,IR,JK,NF,O,OQ,PA,PF,RQ
f1-score,0.0,0.5150501672240803,0.2962962962962963,0.5614035087719298,0.41538461538461535,0.15384615384615385,0.0,0.0,0.9655172413793104,0.8019441069258808,0.5671641791044776,0.3448275862068966
precision,0.0,0.652542372881356,0.5333333333333333,0.6666666666666666,0.6923076923076923,0.5,0.0,0.0,0.9739130434782609,0.7221006564551422,0.57,0.3409090909090909
recall,0.0,0.425414364640884,0.20512820512820512,0.48484848484848486,0.2967032967032967,0.09090909090909091,0.0,0.0,0.9572649572649573,0.9016393442622951,0.5643564356435643,0.3488372093023256
support,58.0,181.0,78.0,33.0,91.0,11.0,65.0,1.0,234.0,366.0,101.0,43.0
train_support,426.0,1769.0,521.0,289.0,712.0,58.0,458.0,17.0,1804.0,3002.0,771.0,370.0
